TESTING AWS;;;;;;;;;;;;;;;;;
Traceability Info:; TRAZiT;;;;;;;;;;;;;;;;
Exported by:;I'm admin for superuser;;;;;;;;;;;;;;;;
Exported on:;Mon Oct 28 2024 15:22:32 GMT+0100 (Central European Standard Time);;;;;;;;;;;;;;;;
System:;demo_v0_9_2;Procedure:;instruments;;;;;;;;;;;;;;
name;family;on_line;model_number;serial_number;supplier;manufacturer;created_on;is_locked;description;last_calibration;next_calibration;last_prev_maint;next_prev_maint;;;;
VI-384729;Viscosimetro;false;1;1;LEICA;METTLER;2024-08-09 16:49:37.9374;true;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
VI-381720;Viscosimetro;false;1;;;;2024-09-19 15:42:09.3908;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
VI-284729;Viscosimetro;false;1;1;PB INSTRUMENTS;METTLER;2024-10-02 11:08:52.8221;false;;;;;;;;;
prueba2024-09-22T15:02:07.900882;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 15:02:07.9225;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-22T14:57:03.649483;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 14:57:03.6651;false;;;;;;;;;
prueba2024-09-22T14:53:49.527516;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 14:53:49.5463;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-22T14:27:17.314031;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 14:27:17.334;false;;;;;;;;;
prueba2024-09-22T12:28:43.646634;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 12:28:43.6602;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-22T12:18:11.765984;Viscosimetro;true;123;456;PB INSTRUMENTS;METTLER;2024-09-22 12:18:11.8104;false;;;;;;;;;
prueba2024-09-22T10:55:41.816923;Viscosimetro;true;123;456;PB INSTRUMENTS;METTLER;2024-09-22 10:55:41.8298;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-22T10:39:30.994104;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 10:39:31.0115;false;;;;;;;;;
prueba2024-09-22T10:34:51.003743;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 10:34:51.0186;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-22T10:30:41.731663;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-22 10:30:41.7622;false;;;;;;;;;
prueba2024-09-19T08:46:34.924791;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-19 08:46:34.9336;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
